Especie,Categoria de Dieta,Dentro de agua,Sobre el agua,Piso,Sotobosque,Medio,Dosel,Aéreo,Masa Promedio
Caracara cheriway,Carnívoro/Carroñero,0,0,100,0,0,0,0,1075.48
Daptrius ater,Carnívoro/Carroñero,0,0,20,20,40,20,0,371.09
Milvago chimachima,Carnívoro/Carroñero,0,0,100,0,0,0,0,306.26
Falco sparverius,Invertebrados,0,0,50,40,10,0,0,102.98
Falco rufigularis,Carnívoro/Carroñero,0,0,10,30,30,0,30,145.05
Falco deiroleucus,Carnívoro/Carroñero,0,0,0,0,33,33,33,459.56
Falco femoralis,Omnívoro,0,0,30,30,20,10,10,274.36
Touit huetii,Frutas/Néctar,0,0,20,30,30,20,0,62.88
Brotogeris cyanoptera,Frutas/Néctar,0,0,0,0,60,40,0,60.79
Pyrilia barrabandi,Omnívoro,0,0,0,30,50,20,0,166.50
Pionus menstruus,Plantas/Semillas,0,0,0,30,50,20,0,235.17
Amazona ochrocephala,Plantas/Semillas,0,0,33,33,33,0,0,406.54
Amazona farinosa,Omnívoro,0,0,0,0,60,40,0,645.18
Amazona amazonica,Frutas/Néctar,0,0,0,33,33,33,0,403.83
Pionites melanocephalus,Frutas/Néctar,0,0,0,40,40,20,0,143.55
Pyrrhura melanura,Frutas/Néctar,0,0,0,30,50,20,0,72.44
Eupsittula pertinax,Plantas/Semillas,0,0,0,50,50,0,0,80.55
Orthopsittaca manilatus,Frutas/Néctar,0,0,0,0,40,60,0,372.00
Ara ararauna,Plantas/Semillas,0,0,0,0,60,40,0,1055.00
Ara macao,Plantas/Semillas,0,0,0,0,60,40,0,1121.70
Ara chloropterus,Plantas/Semillas,0,0,0,0,60,40,0,1180.25
Ara severus,Plantas/Semillas,0,0,0,0,60,40,0,339.79
Psittacara leucophthalmus,Plantas/Semillas,0,0,20,20,40,20,0,163.50
Cymbilaimus lineatus,Invertebrados,0,0,0,0,100,0,0,36.75
Taraba major,Invertebrados,0,0,40,40,20,0,0,61.34
Sakesphorus canadensis,Invertebrados,0,0,30,30,40,0,0,24.89
